indicator,name,value
satisfied_w_area,Ansonia,0.8080808080808082
safe_walking_at_night,Ansonia,0.67
self_rated_health,Ansonia,0.53
obesity,Ansonia,0.31
smoking,Ansonia,0.16
food_insecurity,Ansonia,0.17
housing_insecurity,Ansonia,0.04
transportation_insecure,Ansonia,0.14
no_bank_account,Ansonia,0.13131313131313133
satisfied_w_area,Bridgeport,0.686868686868687
safe_walking_at_night,Bridgeport,0.4343434343434344
self_rated_health,Bridgeport,0.44
obesity,Bridgeport,0.4
smoking,Bridgeport,0.21
food_insecurity,Bridgeport,0.28
housing_insecurity,Bridgeport,0.13
transportation_insecure,Bridgeport,0.23
no_bank_account,Bridgeport,0.21
underemployed,Bridgeport,0.26
satisfied_w_area,Bristol,0.7373737373737373
safe_walking_at_night,Bristol,0.6969696969696969
self_rated_health,Bristol,0.6
obesity,Bristol,0.34
smoking,Bristol,0.15
food_insecurity,Bristol,0.16
housing_insecurity,Bristol,0.11111111111111112
transportation_insecure,Bristol,0.14285714285714288
no_bank_account,Bristol,0.11111111111111112
satisfied_w_area,Cchd Central Ct Health District,0.8080808080808082
safe_walking_at_night,Cchd Central Ct Health District,0.846938775510204
self_rated_health,Cchd Central Ct Health District,0.63
obesity,Cchd Central Ct Health District,0.3
smoking,Cchd Central Ct Health District,0.08
food_insecurity,Cchd Central Ct Health District,0.09
housing_insecurity,Cchd Central Ct Health District,0.05
transportation_insecure,Cchd Central Ct Health District,0.08
no_bank_account,Cchd Central Ct Health District,0.061224489795918366
satisfied_w_area,Chesprocott,0.888888888888889
safe_walking_at_night,Chesprocott,0.8080808080808081
self_rated_health,Chesprocott,0.66
obesity,Chesprocott,0.32
smoking,Chesprocott,0.11
food_insecurity,Chesprocott,0.06
housing_insecurity,Chesprocott,0.06060606060606061
transportation_insecure,Chesprocott,0.07
no_bank_account,Chesprocott,0.04081632653061225
satisfied_w_area,Connecticut,0.8181818181818182
safe_walking_at_night,Connecticut,0.6969696969696969
self_rated_health,Connecticut,0.59
obesity,Connecticut,0.29
smoking,Connecticut,0.14
food_insecurity,Connecticut,0.13
housing_insecurity,Connecticut,0.08
transportation_insecure,Connecticut,0.12
no_bank_account,Connecticut,0.09090909090909091
underemployed,Connecticut,0.15
satisfied_w_area,Danbury,0.846938775510204
safe_walking_at_night,Danbury,0.6969696969696969
self_rated_health,Danbury,0.65
obesity,Danbury,0.27
smoking,Danbury,0.15
food_insecurity,Danbury,0.11
housing_insecurity,Danbury,0.07142857142857144
transportation_insecure,Danbury,0.08080808080808081
no_bank_account,Danbury,0.08080808080808081
underemployed,Danbury,0.1
satisfied_w_area,Darien,0.94
safe_walking_at_night,Darien,0.8600000000000001
self_rated_health,Darien,0.76
obesity,Darien,0.12
food_insecurity,Darien,0.03
housing_insecurity,Darien,0.03
transportation_insecure,Darien,0.02
no_bank_account,Darien,0.04040404040404041
satisfied_w_area,Derby,0.8080808080808082
safe_walking_at_night,Derby,0.7551020408163265
self_rated_health,Derby,0.56
obesity,Derby,0.35
smoking,Derby,0.1
food_insecurity,Derby,0.08
housing_insecurity,Derby,0.030303030303030304
transportation_insecure,Derby,0.07
no_bank_account,Derby,0.0816326530612245
satisfied_w_area,East Hartford,0.77
safe_walking_at_night,East Hartford,0.5918367346938777
self_rated_health,East Hartford,0.56
obesity,East Hartford,0.35
smoking,East Hartford,0.19
food_insecurity,East Hartford,0.18
housing_insecurity,East Hartford,0.1
transportation_insecure,East Hartford,0.19
no_bank_account,East Hartford,0.13
satisfied_w_area,East Haven,0.8181818181818182
safe_walking_at_night,East Haven,0.7346938775510204
self_rated_health,East Haven,0.54
obesity,East Haven,0.34
smoking,East Haven,0.19
food_insecurity,East Haven,0.11
housing_insecurity,East Haven,0.08080808080808081
transportation_insecure,East Haven,0.10101010101010102
no_bank_account,East Haven,0.061224489795918366
satisfied_w_area,Ehhd,0.9
safe_walking_at_night,Ehhd,0.7755102040816326
self_rated_health,Ehhd,0.64
obesity,Ehhd,0.21
smoking,Ehhd,0.1
food_insecurity,Ehhd,0.15
housing_insecurity,Ehhd,0.02
transportation_insecure,Ehhd,0.1
no_bank_account,Ehhd,0.07
satisfied_w_area,Fairfield,0.8787878787878788
safe_walking_at_night,Fairfield,0.8484848484848486
self_rated_health,Fairfield,0.69
obesity,Fairfield,0.26
smoking,Fairfield,0.07
food_insecurity,Fairfield,0.06
transportation_insecure,Fairfield,0.09
no_bank_account,Fairfield,0.04
satisfied_w_area,Fairfield County,0.8282828282828283
safe_walking_at_night,Fairfield County,0.6969696969696969
self_rated_health,Fairfield County,0.63
obesity,Fairfield County,0.27
smoking,Fairfield County,0.12
food_insecurity,Fairfield County,0.11
housing_insecurity,Fairfield County,0.07
transportation_insecure,Fairfield County,0.11
no_bank_account,Fairfield County,0.09090909090909091
underemployed,Fairfield County,0.15
satisfied_w_area,Fcht,0.91
safe_walking_at_night,Fcht,0.6868686868686869
self_rated_health,Fcht,0.73
obesity,Fcht,0.19
smoking,Fcht,0.09
food_insecurity,Fcht,0.07
housing_insecurity,Fcht,0.09183673469387756
transportation_insecure,Fcht,0.08
no_bank_account,Fcht,0.10204081632653061
satisfied_w_area,Greater Bridgeport,0.7676767676767677
