indicator,level,name,year,group,estimate,moe,share,sharemoe
total_pop,1_state,Connecticut,2019,total_pop,3575074,0,NA,NA
total_pop,2_counties,Fairfield County,2019,total_pop,943926,0,NA,NA
total_pop,2_counties,Hartford County,2019,total_pop,893561,0,NA,NA
total_pop,2_counties,Litchfield County,2019,total_pop,182002,0,NA,NA
total_pop,2_counties,Middlesex County,2019,total_pop,163053,0,NA,NA
total_pop,2_counties,New Haven County,2019,total_pop,857513,0,NA,NA
total_pop,2_counties,New London County,2019,total_pop,267390,0,NA,NA
total_pop,2_counties,Tolland County,2019,total_pop,151063,0,NA,NA
total_pop,2_counties,Windham County,2019,total_pop,116566,0,NA,NA
total_pop,3_regions,Greater New Haven,2019,total_pop,463682,155,NA,NA
total_pop,3_regions,Greater Waterbury,2019,total_pop,333077,323,NA,NA
total_pop,3_regions,Greater Bridgeport,2019,total_pop,322564,102,NA,NA
total_pop,3_regions,Lower Naugatuck Valley,2019,total_pop,139537,91,NA,NA
total_pop,3_regions,Greater Hartford,2019,total_pop,971871,361,NA,NA
total_pop,4_towns,Bethel,2019,total_pop,19663,26,NA,NA
total_pop,4_towns,Bridgeport,2019,total_pop,145639,51,NA,NA
total_pop,4_towns,Brookfield,2019,total_pop,17016,25,NA,NA
total_pop,4_towns,Danbury,2019,total_pop,84619,44,NA,NA
total_pop,4_towns,Darien,2019,total_pop,21742,30,NA,NA
total_pop,4_towns,Easton,2019,total_pop,7543,32,NA,NA
total_pop,4_towns,Fairfield,2019,total_pop,61740,32,NA,NA
total_pop,4_towns,Greenwich,2019,total_pop,62587,65,NA,NA
total_pop,4_towns,Monroe,2019,total_pop,19546,22,NA,NA
total_pop,4_towns,New Canaan,2019,total_pop,20276,26,NA,NA
total_pop,4_towns,New Fairfield,2019,total_pop,13955,27,NA,NA
total_pop,4_towns,Newtown,2019,total_pop,27822,26,NA,NA
total_pop,4_towns,Norwalk,2019,total_pop,88599,62,NA,NA
total_pop,4_towns,Redding,2019,total_pop,9176,17,NA,NA
total_pop,4_towns,Ridgefield,2019,total_pop,25042,26,NA,NA
total_pop,4_towns,Shelton,2019,total_pop,41141,44,NA,NA
total_pop,4_towns,Sherman,2019,total_pop,3649,19,NA,NA
total_pop,4_towns,Stamford,2019,total_pop,129309,69,NA,NA
total_pop,4_towns,Stratford,2019,total_pop,52120,67,NA,NA
total_pop,4_towns,Trumbull,2019,total_pop,35976,28,NA,NA
total_pop,4_towns,Weston,2019,total_pop,10287,22,NA,NA
total_pop,4_towns,Westport,2019,total_pop,28016,29,NA,NA
total_pop,4_towns,Wilton,2019,total_pop,18463,24,NA,NA
total_pop,4_towns,Avon,2019,total_pop,18312,33,NA,NA
total_pop,4_towns,Berlin,2019,total_pop,20484,22,NA,NA
total_pop,4_towns,Bloomfield,2019,total_pop,21022,34,NA,NA
total_pop,4_towns,Bristol,2019,total_pop,60218,61,NA,NA
total_pop,4_towns,Burlington,2019,total_pop,9659,29,NA,NA
total_pop,4_towns,Canton,2019,total_pop,10288,19,NA,NA
total_pop,4_towns,East Granby,2019,total_pop,5304,151,NA,NA
total_pop,4_towns,East Hartford,2019,total_pop,50272,86,NA,NA
total_pop,4_towns,East Windsor,2019,total_pop,11445,23,NA,NA
total_pop,4_towns,Enfield,2019,total_pop,44143,60,NA,NA
total_pop,4_towns,Farmington,2019,total_pop,25528,24,NA,NA
total_pop,4_towns,Glastonbury,2019,total_pop,34564,72,NA,NA
total_pop,4_towns,Granby,2019,total_pop,11361,21,NA,NA
total_pop,4_towns,Hartford,2019,total_pop,123088,78,NA,NA
total_pop,4_towns,Hartland,2019,total_pop,1982,151,NA,NA
total_pop,4_towns,Manchester,2019,total_pop,57805,159,NA,NA
total_pop,4_towns,Marlborough,2019,total_pop,6368,18,NA,NA
total_pop,4_towns,New Britain,2019,total_pop,72767,71,NA,NA
total_pop,4_towns,Newington,2019,total_pop,30234,56,NA,NA
total_pop,4_towns,Plainville,2019,total_pop,17619,26,NA,NA
total_pop,4_towns,Rocky Hill,2019,total_pop,20168,65,NA,NA
total_pop,4_towns,Simsbury,2019,total_pop,24799,36,NA,NA
total_pop,4_towns,Southington,2019,total_pop,43781,29,NA,NA
total_pop,4_towns,South Windsor,2019,total_pop,25898,29,NA,NA
total_pop,4_towns,Suffield,2019,total_pop,15688,36,NA,NA
total_pop,4_towns,West Hartford,2019,total_pop,63063,88,NA,NA
total_pop,4_towns,Wethersfield,2019,total_pop,26171,36,NA,NA
total_pop,4_towns,Windsor,2019,total_pop,28859,32,NA,NA
total_pop,4_towns,Windsor Locks,2019,total_pop,12671,25,NA,NA
total_pop,4_towns,Barkhamsted,2019,total_pop,3649,19,NA,NA
total_pop,4_towns,Bethlehem,2019,total_pop,3433,26,NA,NA
total_pop,4_towns,Bridgewater,2019,total_pop,1707,107,NA,NA
total_pop,4_towns,Canaan,2019,total_pop,1143,137,NA,NA
total_pop,4_towns,Colebrook,2019,total_pop,1484,152,NA,NA
total_pop,4_towns,Cornwall,2019,total_pop,1291,127,NA,NA
total_pop,4_towns,Goshen,2019,total_pop,2883,17,NA,NA
total_pop,4_towns,Harwinton,2019,total_pop,5456,19,NA,NA
total_pop,4_towns,Kent,2019,total_pop,2799,16,NA,NA
total_pop,4_towns,Litchfield,2019,total_pop,8147,24,NA,NA
total_pop,4_towns,Morris,2019,total_pop,2205,192,NA,NA
total_pop,4_towns,New Hartford,2019,total_pop,6703,20,NA,NA
total_pop,4_towns,New Milford,2019,total_pop,27014,27,NA,NA
total_pop,4_towns,Norfolk,2019,total_pop,1628,140,NA,NA
total_pop,4_towns,North Canaan,2019,total_pop,3281,14,NA,NA
total_pop,4_towns,Plymouth,2019,total_pop,11711,24,NA,NA
total_pop,4_towns,Roxbury,2019,total_pop,2105,170,NA,NA
total_pop,4_towns,Salisbury,2019,total_pop,3625,17,NA,NA
total_pop,4_towns,Sharon,2019,total_pop,2700,21,NA,NA
total_pop,4_towns,Thomaston,2019,total_pop,7599,21,NA,NA
total_pop,4_towns,Torrington,2019,total_pop,34489,28,NA,NA
total_pop,4_towns,Warren,2019,total_pop,1457,106,NA,NA
total_pop,4_towns,Washington,2019,total_pop,3450,17,NA,NA
total_pop,4_towns,Watertown,2019,total_pop,21751,28,NA,NA
total_pop,4_towns,Winchester,2019,total_pop,10730,26,NA,NA
total_pop,4_towns,Woodbury,2019,total_pop,9562,29,NA,NA
total_pop,4_towns,Chester,2019,total_pop,4234,30,NA,NA
total_pop,4_towns,Clinton,2019,total_pop,12944,28,NA,NA
total_pop,4_towns,Cromwell,2019,total_pop,13910,26,NA,NA
total_pop,4_towns,Deep River,2019,total_pop,4480,21,NA,NA
total_pop,4_towns,Durham,2019,total_pop,7221,25,NA,NA
total_pop,4_towns,East Haddam,2019,total_pop,9007,19,NA,NA
total_pop,4_towns,East Hampton,2019,total_pop,12827,26,NA,NA
total_pop,4_towns,Essex,2019,total_pop,6604,31,NA,NA
total_pop,4_towns,Haddam,2019,total_pop,8227,22,NA,NA
total_pop,4_towns,Killingworth,2019,total_pop,6392,15,NA,NA
total_pop,4_towns,Middlefield,2019,total_pop,4381,17,NA,NA
total_pop,4_towns,Middletown,2019,total_pop,46511,36,NA,NA
total_pop,4_towns,Old Saybrook,2019,total_pop,10090,21,NA,NA
total_pop,4_towns,Portland,2019,total_pop,9322,21,NA,NA
total_pop,4_towns,Westbrook,2019,total_pop,6903,34,NA,NA
total_pop,4_towns,Ansonia,2019,total_pop,18802,48,NA,NA
total_pop,4_towns,Beacon Falls,2019,total_pop,6168,20,NA,NA
total_pop,4_towns,Bethany,2019,total_pop,5513,19,NA,NA
total_pop,4_towns,Branford,2019,total_pop,28020,32,NA,NA
total_pop,4_towns,Cheshire,2019,total_pop,29147,30,NA,NA
total_pop,4_towns,Derby,2019,total_pop,12485,24,NA,NA
total_pop,4_towns,East Haven,2019,total_pop,28742,30,NA,NA
total_pop,4_towns,Guilford,2019,total_pop,22216,39,NA,NA
total_pop,4_towns,Hamden,2019,total_pop,60982,49,NA,NA
total_pop,4_towns,Madison,2019,total_pop,18113,21,NA,NA
total_pop,4_towns,Meriden,2019,total_pop,59676,37,NA,NA
total_pop,4_towns,Middlebury,2019,total_pop,7739,30,NA,NA
total_pop,4_towns,Milford,2019,total_pop,54328,88,NA,NA
total_pop,4_towns,Naugatuck,2019,total_pop,31347,31,NA,NA
total_pop,4_towns,New Haven,2019,total_pop,130331,47,NA,NA
total_pop,4_towns,North Branford,2019,total_pop,14191,24,NA,NA
total_pop,4_towns,North Haven,2019,total_pop,23722,25,NA,NA
total_pop,4_towns,Orange,2019,total_pop,13934,36,NA,NA
total_pop,4_towns,Oxford,2019,total_pop,13086,29,NA,NA
total_pop,4_towns,Prospect,2019,total_pop,9705,22,NA,NA
total_pop,4_towns,Seymour,2019,total_pop,16508,35,NA,NA
total_pop,4_towns,Southbury,2019,total_pop,19681,22,NA,NA
total_pop,4_towns,Wallingford,2019,total_pop,44596,36,NA,NA
total_pop,4_towns,Waterbury,2019,total_pop,108276,50,NA,NA
total_pop,4_towns,West Haven,2019,total_pop,54763,54,NA,NA
total_pop,4_towns,Wolcott,2019,total_pop,16615,62,NA,NA
total_pop,4_towns,Woodbridge,2019,total_pop,8827,46,NA,NA
total_pop,4_towns,Bozrah,2019,total_pop,2589,17,NA,NA
total_pop,4_towns,Colchester,2019,total_pop,15860,28,NA,NA
total_pop,4_towns,East Lyme,2019,total_pop,18724,32,NA,NA
total_pop,4_towns,Franklin,2019,total_pop,1778,99,NA,NA
total_pop,4_towns,Griswold,2019,total_pop,11622,35,NA,NA
total_pop,4_towns,Groton,2019,total_pop,38825,29,NA,NA
total_pop,4_towns,Lebanon,2019,total_pop,7215,41,NA,NA
total_pop,4_towns,Ledyard,2019,total_pop,14761,25,NA,NA
total_pop,4_towns,Lisbon,2019,total_pop,4247,18,NA,NA
total_pop,4_towns,Lyme,2019,total_pop,2499,99,NA,NA
total_pop,4_towns,Montville,2019,total_pop,18835,75,NA,NA
total_pop,4_towns,New London,2019,total_pop,26966,39,NA,NA
total_pop,4_towns,North Stonington,2019,total_pop,5223,15,NA,NA
total_pop,4_towns,Norwich,2019,total_pop,39260,37,NA,NA
total_pop,4_towns,Old Lyme,2019,total_pop,7396,21,NA,NA
total_pop,4_towns,Preston,2019,total_pop,4657,42,NA,NA
total_pop,4_towns,Salem,2019,total_pop,4112,20,NA,NA
total_pop,4_towns,Sprague,2019,total_pop,2906,31,NA,NA
total_pop,4_towns,Stonington,2019,total_pop,18445,24,NA,NA
total_pop,4_towns,Voluntown,2019,total_pop,2535,20,NA,NA
total_pop,4_towns,Waterford,2019,total_pop,18935,31,NA,NA
total_pop,4_towns,Andover,2019,total_pop,3203,124,NA,NA
total_pop,4_towns,Bolton,2019,total_pop,4911,21,NA,NA
total_pop,4_towns,Columbia,2019,total_pop,5417,34,NA,NA
total_pop,4_towns,Coventry,2019,total_pop,12433,19,NA,NA
total_pop,4_towns,Ellington,2019,total_pop,16170,42,NA,NA
total_pop,4_towns,Hebron,2019,total_pop,9512,36,NA,NA
total_pop,4_towns,Mansfield,2019,total_pop,25799,35,NA,NA
total_pop,4_towns,Somers,2019,total_pop,11005,42,NA,NA
total_pop,4_towns,Stafford,2019,total_pop,11881,28,NA,NA
total_pop,4_towns,Tolland,2019,total_pop,14713,37,NA,NA
total_pop,4_towns,Union,2019,total_pop,894,115,NA,NA
total_pop,4_towns,Vernon,2019,total_pop,29232,38,NA,NA
total_pop,4_towns,Willington,2019,total_pop,5893,18,NA,NA
total_pop,4_towns,Ashford,2019,total_pop,4236,18,NA,NA
total_pop,4_towns,Brooklyn,2019,total_pop,8238,17,NA,NA
total_pop,4_towns,Canterbury,2019,total_pop,5069,27,NA,NA
total_pop,4_towns,Chaplin,2019,total_pop,2489,168,NA,NA
total_pop,4_towns,Eastford,2019,total_pop,1653,97,NA,NA
total_pop,4_towns,Hampton,2019,total_pop,1830,102,NA,NA
total_pop,4_towns,Killingly,2019,total_pop,17231,42,NA,NA
total_pop,4_towns,Plainfield,2019,total_pop,15105,25,NA,NA
total_pop,4_towns,Pomfret,2019,total_pop,4186,24,NA,NA
total_pop,4_towns,Putnam,2019,total_pop,9361,27,NA,NA
total_pop,4_towns,Scotland,2019,total_pop,1569,161,NA,NA
total_pop,4_towns,Sterling,2019,total_pop,3757,17,NA,NA
total_pop,4_towns,Thompson,2019,total_pop,9351,27,NA,NA
total_pop,4_towns,Windham,2019,total_pop,24655,24,NA,NA
total_pop,4_towns,Woodstock,2019,total_pop,7836,18,NA,NA
age,1_state,Connecticut,2019,total_pop,3575074,7860,NA,NA
age,1_state,Connecticut,2019,ages0_17,743833,3079,0.208,0.001
age,1_state,Connecticut,2019,ages65plus,601053,3989,0.168,0.001
age,2_counties,Fairfield County,2019,total_pop,943926,3948,NA,NA
age,2_counties,Fairfield County,2019,ages0_17,214502,1764,0.227,0.002
age,2_counties,Fairfield County,2019,ages65plus,146621,1938,0.155,0.002
age,2_counties,Hartford County,2019,total_pop,893561,3939,NA,NA
age,2_counties,Hartford County,2019,ages0_17,189177,1747,0.212,0.002
age,2_counties,Hartford County,2019,ages65plus,149889,2009,0.168,0.002
age,2_counties,Litchfield County,2019,total_pop,182002,1720,NA,NA
age,2_counties,Litchfield County,2019,ages0_17,33690,656,0.185,0.003
age,2_counties,Litchfield County,2019,ages65plus,37457,961,0.206,0.005
age,2_counties,Middlesex County,2019,total_pop,163053,1718,NA,NA
age,2_counties,Middlesex County,2019,ages0_17,29313,693,0.18,0.004
age,2_counties,Middlesex County,2019,ages65plus,32072,888,0.197,0.005
age,2_counties,New Haven County,2019,total_pop,857513,3946,NA,NA
age,2_counties,New Haven County,2019,ages0_17,174834,1615,0.204,0.002
age,2_counties,New Haven County,2019,ages65plus,145741,2018,0.17,0.002
age,2_counties,New London County,2019,total_pop,267390,2104,NA,NA
age,2_counties,New London County,2019,ages0_17,52401,812,0.196,0.003
age,2_counties,New London County,2019,ages65plus,47421,1077,0.177,0.004
age,2_counties,Tolland County,2019,total_pop,151063,1777,NA,NA
age,2_counties,Tolland County,2019,ages0_17,26575,646,0.176,0.004
age,2_counties,Tolland County,2019,ages65plus,23140,797,0.153,0.005
age,2_counties,Windham County,2019,total_pop,116566,1491,NA,NA
age,2_counties,Windham County,2019,ages0_17,23341,685,0.2,0.005
age,2_counties,Windham County,2019,ages65plus,18712,740,0.161,0.006
age,3_regions,Greater Bridgeport,2019,total_pop,322564,3653,NA,NA
age,3_regions,Greater Bridgeport,2019,ages0_17,73364,1698,0.227,0.005
age,3_regions,Greater Bridgeport,2019,ages65plus,47417,1316,0.147,0.004
age,3_regions,Greater Hartford,2019,total_pop,971871,6384,NA,NA
age,3_regions,Greater Hartford,2019,ages0_17,200730,3044,0.207,0.003
age,3_regions,Greater Hartford,2019,ages65plus,160911,2405,0.166,0.002
age,3_regions,Greater New Haven,2019,total_pop,463682,4687,NA,NA
age,3_regions,Greater New Haven,2019,ages0_17,91868,2197,0.198,0.004
age,3_regions,Greater New Haven,2019,ages65plus,77514,1761,0.167,0.003
age,3_regions,Greater Waterbury,2019,total_pop,333077,3904,NA,NA
age,3_regions,Greater Waterbury,2019,ages0_17,71444,1935,0.214,0.005
age,3_regions,Greater Waterbury,2019,ages65plus,59152,1478,0.178,0.004
age,3_regions,Lower Naugatuck Valley,2019,total_pop,139537,2803,NA,NA
age,3_regions,Lower Naugatuck Valley,2019,ages0_17,27986,1369,0.201,0.009
age,3_regions,Lower Naugatuck Valley,2019,ages65plus,24856,1069,0.178,0.007
age,4_towns,Andover,2019,total_pop,3203,321,NA,NA
age,4_towns,Andover,2019,ages0_17,594,146,0.185,0.042
age,4_towns,Andover,2019,ages65plus,455,99,0.142,0.027
age,4_towns,Ansonia,2019,total_pop,18802,1097,NA,NA
age,4_towns,Ansonia,2019,ages0_17,3758,550,0.2,0.027
age,4_towns,Ansonia,2019,ages65plus,3053,390,0.162,0.018
age,4_towns,Ashford,2019,total_pop,4236,360,NA,NA
age,4_towns,Ashford,2019,ages0_17,879,194,0.208,0.042
age,4_towns,Ashford,2019,ages65plus,558,113,0.132,0.024
age,4_towns,Avon,2019,total_pop,18312,833,NA,NA
age,4_towns,Avon,2019,ages0_17,4583,449,0.25,0.022
age,4_towns,Avon,2019,ages65plus,3800,387,0.208,0.019
age,4_towns,Barkhamsted,2019,total_pop,3649,315,NA,NA
age,4_towns,Barkhamsted,2019,ages0_17,728,143,0.2,0.035
age,4_towns,Barkhamsted,2019,ages65plus,709,150,0.194,0.038
age,4_towns,Beacon Falls,2019,total_pop,6168,578,NA,NA
age,4_towns,Beacon Falls,2019,ages0_17,1277,266,0.207,0.039
age,4_towns,Beacon Falls,2019,ages65plus,1300,285,0.211,0.042
age,4_towns,Berlin,2019,total_pop,20484,1011,NA,NA
age,4_towns,Berlin,2019,ages0_17,4086,468,0.199,0.021
age,4_towns,Berlin,2019,ages65plus,4314,453,0.211,0.02
age,4_towns,Bethany,2019,total_pop,5513,507,NA,NA
age,4_towns,Bethany,2019,ages0_17,1108,233,0.201,0.038
age,4_towns,Bethany,2019,ages65plus,1040,219,0.189,0.036
age,4_towns,Bethel,2019,total_pop,19663,918,NA,NA
age,4_towns,Bethel,2019,ages0_17,4600,528,0.234,0.025
age,4_towns,Bethel,2019,ages65plus,3002,298,0.153,0.013
age,4_towns,Bethlehem,2019,total_pop,3433,289,NA,NA
age,4_towns,Bethlehem,2019,ages0_17,816,150,0.238,0.039
age,4_towns,Bethlehem,2019,ages65plus,618,108,0.18,0.028
age,4_towns,Bloomfield,2019,total_pop,21022,1069,NA,NA
age,4_towns,Bloomfield,2019,ages0_17,3046,443,0.145,0.02
age,4_towns,Bloomfield,2019,ages65plus,5603,470,0.267,0.018
age,4_towns,Bolton,2019,total_pop,4911,358,NA,NA
age,4_towns,Bolton,2019,ages0_17,923,155,0.188,0.028
age,4_towns,Bolton,2019,ages65plus,1059,158,0.216,0.028
age,4_towns,Bozrah,2019,total_pop,2589,203,NA,NA
age,4_towns,Bozrah,2019,ages0_17,489,95,0.189,0.034
age,4_towns,Bozrah,2019,ages65plus,495,85,0.191,0.029
age,4_towns,Branford,2019,total_pop,28020,1109,NA,NA
age,4_towns,Branford,2019,ages0_17,4619,496,0.165,0.016
age,4_towns,Branford,2019,ages65plus,6390,478,0.228,0.014
age,4_towns,Bridgeport,2019,total_pop,145639,2545,NA,NA
age,4_towns,Bridgeport,2019,ages0_17,33671,1172,0.231,0.007
age,4_towns,Bridgeport,2019,ages65plus,16526,831,0.113,0.005
age,4_towns,Bridgewater,2019,total_pop,1707,120,NA,NA
age,4_towns,Bridgewater,2019,ages0_17,216,39,0.127,0.021
age,4_towns,Bridgewater,2019,ages65plus,529,64,0.31,0.031
age,4_towns,Bristol,2019,total_pop,60218,1661,NA,NA
age,4_towns,Bristol,2019,ages0_17,12217,842,0.203,0.013
age,4_towns,Bristol,2019,ages65plus,9961,622,0.165,0.009
age,4_towns,Brookfield,2019,total_pop,17016,856,NA,NA
age,4_towns,Brookfield,2019,ages0_17,3942,414,0.232,0.021
age,4_towns,Brookfield,2019,ages65plus,3270,372,0.192,0.02
age,4_towns,Brooklyn,2019,total_pop,8238,666,NA,NA
age,4_towns,Brooklyn,2019,ages0_17,1702,387,0.207,0.044
age,4_towns,Brooklyn,2019,ages65plus,1546,249,0.188,0.026
age,4_towns,Burlington,2019,total_pop,9659,516,NA,NA
age,4_towns,Burlington,2019,ages0_17,2253,272,0.233,0.025
age,4_towns,Burlington,2019,ages65plus,1514,208,0.157,0.02
age,4_towns,Canaan,2019,total_pop,1143,111,NA,NA
age,4_towns,Canaan,2019,ages0_17,190,47,0.166,0.038
age,4_towns,Canaan,2019,ages65plus,288,59,0.252,0.045
age,4_towns,Canterbury,2019,total_pop,5069,421,NA,NA
age,4_towns,Canterbury,2019,ages0_17,1120,234,0.221,0.042
age,4_towns,Canterbury,2019,ages65plus,886,152,0.175,0.026
age,4_towns,Canton,2019,total_pop,10288,747,NA,NA
age,4_towns,Canton,2019,ages0_17,2169,337,0.211,0.029
age,4_towns,Canton,2019,ages65plus,2013,313,0.196,0.027
age,4_towns,Chaplin,2019,total_pop,2489,241,NA,NA
age,4_towns,Chaplin,2019,ages0_17,428,103,0.172,0.038
age,4_towns,Chaplin,2019,ages65plus,392,86,0.157,0.031
age,4_towns,Cheshire,2019,total_pop,29147,1095,NA,NA
age,4_towns,Cheshire,2019,ages0_17,5653,501,0.194,0.016
age,4_towns,Cheshire,2019,ages65plus,5412,454,0.186,0.014
age,4_towns,Chester,2019,total_pop,4234,409,NA,NA
age,4_towns,Chester,2019,ages0_17,711,192,0.168,0.042
age,4_towns,Chester,2019,ages65plus,1072,170,0.253,0.032
age,4_towns,Clinton,2019,total_pop,12944,601,NA,NA
age,4_towns,Clinton,2019,ages0_17,2390,284,0.185,0.02
age,4_towns,Clinton,2019,ages65plus,2700,256,0.209,0.017
age,4_towns,Colchester,2019,total_pop,15860,842,NA,NA
age,4_towns,Colchester,2019,ages0_17,3729,441,0.235,0.025
age,4_towns,Colchester,2019,ages65plus,2249,260,0.142,0.015
age,4_towns,Colebrook,2019,total_pop,1484,131,NA,NA
age,4_towns,Colebrook,2019,ages0_17,302,65,0.204,0.04
age,4_towns,Colebrook,2019,ages65plus,221,55,0.149,0.035
age,4_towns,Columbia,2019,total_pop,5417,514,NA,NA
age,4_towns,Columbia,2019,ages0_17,958,239,0.177,0.041
age,4_towns,Columbia,2019,ages65plus,1171,219,0.216,0.035
age,4_towns,Cornwall,2019,total_pop,1291,111,NA,NA
age,4_towns,Cornwall,2019,ages0_17,212,52,0.164,0.038
age,4_towns,Cornwall,2019,ages65plus,389,52,0.301,0.031
age,4_towns,Coventry,2019,total_pop,12433,767,NA,NA
age,4_towns,Coventry,2019,ages0_17,2707,380,0.218,0.027
age,4_towns,Coventry,2019,ages65plus,1851,264,0.149,0.019
age,4_towns,Cromwell,2019,total_pop,13910,783,NA,NA
age,4_towns,Cromwell,2019,ages0_17,2785,397,0.2,0.026
age,4_towns,Cromwell,2019,ages65plus,2699,315,0.194,0.02
age,4_towns,Danbury,2019,total_pop,84619,2150,NA,NA
age,4_towns,Danbury,2019,ages0_17,17017,1045,0.201,0.011
age,4_towns,Danbury,2019,ages65plus,11560,700,0.137,0.008
age,4_towns,Darien,2019,total_pop,21742,736,NA,NA
age,4_towns,Darien,2019,ages0_17,7339,439,0.338,0.017
age,4_towns,Darien,2019,ages65plus,2585,258,0.119,0.011
