level,city,name,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,Latino population,Percent Latino,White population,Percent white,Black population,Percent black,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
state,"",Connecticut,3575074,743833,0.21,2831241,0.79,601053,0.17,574240,0.16,2392013,0.67,354120,0.1,254701,0.07,520951,0.15,1370746,905681,0.66,476982,0.36,3470087,344146,0.1,785054,0.23,734377,97721,0.13,217508,0.3,580573,42069,0.07,123855,0.21
regions,"",Fairfield County,943926,214502,0.23,729424,0.77,146621,0.16,185996,0.2,582819,0.62,100262,0.11,74849,0.08,207839,0.22,340189,228111,0.67,130910,0.39,926424,82327,0.09,192720,0.21,212192,23444,0.11,55124,0.26,142050,10172,0.07,27284,0.19
towns,"",Stamford,129309,26478,0.2,102831,0.8,18678,0.14,35233,0.27,63758,0.49,16512,0.13,13806,0.11,44496,0.34,49141,25351,0.52,20770,0.43,128460,11767,0.09,30622,0.24,26262,3026,0.12,8786,0.33,18169,1794,0.1,4518,0.25
neighborhoods,Stamford,Belltown,4506,971,0.22,3535,0.78,509,0.11,809,0.18,2665,0.59,557,0.12,475,0.11,1445,0.32,1622,1160,0.72,514,0.32,4487,395,0.09,798,0.18,954,157,0.16,257,0.27,508,17,0.03,47,0.09
neighborhoods,Stamford,Cove-East Side,17248,3581,0.21,13667,0.79,2253,0.13,7536,0.44,6300,0.37,2746,0.16,666,0.04,7792,0.45,5836,2672,0.46,3144,0.56,17045,1653,0.1,5306,0.31,3479,410,0.12,1532,0.44,2163,281,0.13,778,0.36
neighborhoods,Stamford,Downtown,20472,2853,0.14,17619,0.86,2756,0.13,3988,0.19,8643,0.42,3320,0.16,4521,0.22,8330,0.41,9891,2035,0.21,4156,0.43,20472,2682,0.13,5941,0.29,2853,420,0.15,1180,0.41,2756,577,0.21,1455,0.53
neighborhoods,Stamford,Glenbrook,13908,3085,0.22,10823,0.78,1855,0.13,5212,0.37,5632,0.4,1534,0.11,1530,0.11,5609,0.4,5152,2878,0.56,2179,0.43,13728,1269,0.09,3847,0.28,3084,524,0.17,1360,0.44,1713,48,0.03,334,0.19
neighborhoods,Stamford,Newfield,3303,558,0.17,2745,0.83,759,0.23,346,0.1,2671,0.81,86,0.03,201,0.06,529,0.16,1243,1033,0.83,414,0.34,3304,151,0.05,264,0.08,558,1,0,1,0,762,80,0.1,182,0.24
neighborhoods,Stamford,North Stamford,14088,3054,0.22,11034,0.78,2846,0.2,1446,0.1,11024,0.78,324,0.02,1294,0.09,2874,0.2,4798,4533,0.94,1289,0.27,13954,487,0.03,745,0.05,3054,106,0.03,169,0.06,2730,67,0.02,104,0.04
neighborhoods,Stamford,Palmers Hill,1026,226,0.22,800,0.78,247,0.24,77,0.08,817,0.8,45,0.04,88,0.09,171,0.17,360,332,0.92,107,0.3,992,24,0.02,43,0.04,221,8,0.04,11,0.05,219,8,0.04,15,0.07
